Listing for omni2 data from 20150621 to 20150625

Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSE)
 3 BZ, nT (GSE)
 4 SW Plasma Temperature, K
 5 SW Proton Density, N/cm^3
 6 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3        4     5     6 
2015 176  0  -8.2   3.6   1.0  489526.   3.4  637.
2015 176  1  -6.7   4.0   3.5  398686.   4.8  631.
2015 176  2  -1.4   3.6   6.2  223818.   6.1  621.
2015 176  3  -4.3   3.0   5.3  201004.   5.5  596.
2015 176  4  -4.7   2.8   2.2  223764.   5.1  595.
2015 176  5  -5.1  -0.9   4.4  227611.   6.0  600.
2015 176  6  -2.9   7.3   0.1  233435.   7.0  620.
2015 176  7   3.4   5.6  -0.9  224966.   6.0  652.
2015 176  8  -1.0  -7.5   0.9  200370.   6.2  642.
2015 176  9   1.0   1.3  -0.9  145436.   5.6  663.
2015 176 10  -3.8 -10.3  -6.4   49218.   3.6  641.
2015 176 11  -5.9  -9.5  -4.7   26245.   4.2  636.
2015 176 12   0.4  -2.1  -6.1   99123.   8.6  628.
2015 176 13  -1.2  -2.1  -7.2   92267.   7.4  616.
2015 176 14  -0.2  -0.9  -2.4  133135.   4.9  600.
2015 176 15   0.2  -1.9  -2.0  113699.   3.3  592.
2015 176 16   0.8  -1.2  -0.2   71606.   2.7  591.
2015 176 17   1.4  -2.6  -2.4   43394.   2.4  585.
2015 176 18  -0.2  -2.5  -3.0   46594.   2.6  559.
2015 176 19   1.8  -0.2  -2.1   66012.   2.1  568.
2015 176 20   2.8   0.3  -0.9   44551.   2.0  554.
2015 176 21   2.8   0.5   0.1   49572.   2.4  547.
2015 176 22   2.8  -0.2  -0.4   43779.   2.1  545.
2015 176 23   2.6  -1.7  -1.9   47554.   1.7  534.


